emp_to_pop, cert, female_par, ogc_fid, median11, male_less_, male_part_, y12, uni, part_rate, ssc_name, ssc2011
0.0,0.391304,0.0,183,36042.11765,0.0,0.0,0.391304,0.217391,0.0,"Bergalia",10183
0.710591,0.353023,0.691621,86,44028.91603,0.139704,0.831325,0.364558,0.282419,0.758273,"Balgownie",10086
0.711628,0.416862,0.733945,96,40748.0,0.102897,0.836842,0.351288,0.23185,0.776413,"Bangalee (NSW)",10096
0.707071,0.293578,0.735816,97,35138.69767,0.072265,0.808081,0.355963,0.350459,0.771402,"Bangalow",10097
0.0,0.292818,0.0,98,25245.2973,0.0,0.0,0.569061,0.138122,0.0,"Bangheet",10098
0.0,0.314516,0.0,87,24090.85714,0.0,0.0,0.596774,0.08871,0.0,"Balladoran",10087
0.0,0.377358,0.0,88,37973.0,0.0,0.0,0.462264,0.160377,0.0,"Ballimore",10088
0.590039,0.335678,0.636313,89,28057.51586,0.093314,0.729627,0.537423,0.126899,0.680605,"Ballina",10089
0.811594,0.383596,0.783125,99,52935.56906,0.12399,0.907115,0.366877,0.249527,0.842949,"Bangor (NSW)",10099
0.694505,0.268829,0.703052,100,38663.96639,0.164963,0.868014,0.518966,0.212205,0.785461,"Banksia",10100
0.592944,0.318589,0.572878,184,28717.10569,0.192561,0.765439,0.602949,0.078462,0.667308,"Berkeley",10184
0.734713,0.416667,0.713768,185,36916.75,0.161801,0.875569,0.470438,0.112896,0.790064,"Berkeley Vale",10185
0.773645,0.193348,0.821985,90,75964.15799,0.067895,0.88988,0.272023,0.534629,0.853844,"Balmain",10090
0.0,0.0,0.0,272,77948.0,0.0,0.0,0.0,0.0,0.0,"Bomen",10272
0.0,0.31677,0.0,273,25051.44828,0.0,0.0,0.490683,0.192547,0.0,"Bomera",10273
0.539474,0.268456,0.593103,274,22724.0,0.028518,0.621622,0.604027,0.127517,0.607509,"Bonalbo",10274
0.0,0.0,0.0,101,31148.0,0.0,0.0,0.0,0.0,0.0,"Banksmeadow",10101
0.710183,0.273519,0.708185,114,42135.09677,0.147078,0.855263,0.450348,0.276132,0.780622,"Bardwell Valley",10114
0.680147,0.338235,0.737489,6427,28894.66667,0.162785,0.900274,0.610294,0.051471,0.0,"Macdonald Park",40390
0.540244,0.213195,0.529854,102,26910.57012,0.258826,0.78868,0.584524,0.202281,0.656269,"Bankstown",10102
0.0,0.0,0.0,103,15548.0,0.0,0.0,0.0,0.0,0.0,"Bankstown Aerodrome",10103
0.0,0.490909,0.0,104,28548.0,0.0,0.0,0.390909,0.118182,0.0,"Bannaby",10104
0.0,0.421622,0.0,105,39814.66667,0.0,0.0,0.410811,0.167568,0.0,"Bannister (NSW)",10105
0.682254,0.3793,0.701899,106,34238.94412,0.107925,0.809824,0.497315,0.123385,0.751242,"Banora Point",10106
0.6411,0.228986,0.74812,107,55153.47945,-0.006272,0.741848,0.385507,0.385507,0.745253,"Bar Beach",10107
0.702222,0.368889,0.735294,108,34684.0,0.029923,0.765217,0.462222,0.168889,0.751152,"Bar Point",10108
0.540166,0.243094,0.517045,109,23868.0,0.217894,0.73494,0.696133,0.060773,0.625731,"Baradine",10109
0.0,0.151515,0.0,110,17628.0,0.0,0.0,0.712121,0.136364,0.0,"Barangaroo",10110
0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,"Barcoongere",10111
0.844683,0.402052,0.817844,112,54598.21459,0.117609,0.935453,0.373601,0.224347,0.874941,"Barden Ridge",10112
0.598891,0.355556,0.638989,251,33781.76623,0.169047,0.808036,0.494444,0.15,0.717131,"Blue Bay",10251
0.772465,0.307249,0.732899,113,45788.0,0.146619,0.879518,0.381384,0.311367,0.805184,"Bardwell Park",10113
0.45,0.238494,0.421488,686,21338.90909,0.178512,0.6,0.694561,0.066946,0.512821,"Dareton",10686
0.695906,0.291066,0.621118,115,28802.90196,0.181142,0.80226,0.622478,0.086455,0.725664,"Barellan",10115
0.725265,0.391525,0.719133,116,40154.4,0.147468,0.866601,0.511285,0.09719,0.790821,"Bargo",10116
0.690254,0.307181,0.702997,117,31456.47458,0.113863,0.81686,0.558511,0.134309,0.757405,"Barham",10117
0.45,0.326923,0.601852,118,18873.5814,-0.072001,0.529851,0.419231,0.253846,0.560166,"Barkers Vale",10118
0.529954,0.287037,0.55,119,25414.66667,0.119903,0.669903,0.611111,0.101852,0.614634,"Barmedman",10119
0.780392,0.376953,0.826271,1066,45179.74603,0.021638,0.847909,0.378906,0.244141,0.841683,"Hamilton North",11066
0.718023,0.4276,0.670588,120,35933.27607,0.176662,0.847251,0.528669,0.043732,0.757243,"Barnsley",10120
0.734859,0.348993,0.718499,121,35340.24806,0.130339,0.848837,0.54094,0.110067,0.784423,"Barooga",10121
0.579856,0.309249,0.588921,122,23616.96552,0.111696,0.700617,0.618497,0.072254,0.644042,"Barraba",10122
0.765903,0.114213,0.753695,3363,66741.10345,0.14016,0.893855,0.236041,0.649746,0.819843,"Kooyong",20734
0.592497,0.337637,0.575233,123,31175.73333,0.197882,0.773115,0.589735,0.072628,0.67079,"Barrack Heights",10123
0.656716,0.411411,0.621795,124,39026.78788,0.188021,0.809816,0.435435,0.153153,0.718266,"Barrack Point",10124
0.0,0.275591,0.0,125,36595.61905,0.0,0.0,0.346457,0.377953,0.0,"Barrengarry",10125
0.655797,0.363636,0.58156,126,32830.35294,0.224641,0.806202,0.476364,0.16,0.678967,"Barrington (NSW)",10126
0.63941,0.255628,0.597519,282,31625.83784,0.228825,0.826344,0.62006,0.124312,0.707764,"Bonnyrigg Heights",10282
0.704341,0.379085,0.709003,283,33079.42857,0.1066,0.815603,0.430556,0.190359,0.76054,"Bonville",10283
0.0,0.372973,0.0,284,31003.55556,0.0,0.0,0.486486,0.140541,0.0,"Booerie Creek",10284
0.774038,0.325243,0.76,3364,36111.63636,0.107347,0.867347,0.42233,0.252427,0.822335,"Korobeit",20735
0.0,0.378571,0.0,127,36348.0,0.0,0.0,0.535714,0.085714,0.0,"Barry (Blayney - NSW)",10127
0.658144,0.288061,0.640228,151,36229.21827,0.182972,0.823201,0.502843,0.209097,0.727152,"Belfield",10151
0.0,0.479167,0.0,152,53805.14286,0.0,0.0,0.260417,0.260417,0.0,"Belgravia",10152
0.758189,0.387066,0.739806,3365,35732.61538,0.141147,0.880952,0.472973,0.139961,0.811209,"Koroit",20736
0.603175,0.38705,0.594752,128,31248.97087,0.142748,0.7375,0.510791,0.102158,0.665165,"Basin View",10128
0.576438,0.25385,0.627979,1067,37802.92228,0.11075,0.73873,0.459169,0.286981,0.684861,"Hamilton South",11067
0.605547,0.29507,0.558448,129,31386.24701,0.246932,0.80538,0.580083,0.124847,0.680073,"Bass Hill",10129
0.707165,0.401235,0.724832,153,40444.9697,0.084692,0.809524,0.453704,0.145062,0.769231,"Belimbla Park",10153
0.662651,0.399202,0.645161,288,32303.55556,0.14322,0.788382,0.506986,0.093812,0.71281,"Boolaroo",10288
0.699454,0.380558,0.707143,130,36322.25743,0.117419,0.824561,0.468066,0.151376,0.761481,"Bateau Bay",10130
0.512315,0.32963,0.573684,131,26574.95035,0.099555,0.673239,0.585185,0.085185,0.620924,"Batehaven",10131
0.490483,0.309593,0.543046,132,23632.375,0.122548,0.665595,0.617733,0.072674,0.60778,"Batemans Bay",10132
0.692671,0.35782,0.690355,160,35969.81818,0.169645,0.86,0.549763,0.092417,0.777215,"Bellbird Heights",10160
0.35,0.197309,0.382979,161,17498.0,0.107587,0.490566,0.713004,0.089686,0.422111,"Bellbrook",10161
0.0,0.245098,0.0,289,29414.66667,0.0,0.0,0.637255,0.117647,0.0,"Booligal",10289
0.0,0.362637,0.0,290,29748.0,0.0,0.0,0.478022,0.159341,0.0,"Boomanoomana",10290
0.691814,0.30863,0.741027,133,39777.78723,0.086606,0.827633,0.442092,0.249278,0.784402,"Bathurst",10133
0.663366,0.390863,0.701923,297,28259.11111,0.021481,0.723404,0.451777,0.15736,0.720812,"Bootawa",10297
0.0,0.284672,0.0,298,21181.33333,0.0,0.0,0.635036,0.080292,0.0,"Bora Ridge",10298
0.0,0.342391,0.0,299,44596.27586,0.0,0.0,0.472826,0.184783,0.0,"Borambola",10299
0.0,0.215517,0.0,300,24503.55556,0.0,0.0,0.689655,0.094828,0.0,"Boree Creek",10300
0.845494,0.399123,0.823529,301,49548.0,0.121925,0.945455,0.328947,0.27193,0.868421,"Borenore",10301
0.639222,0.277836,0.595113,302,32864.92955,0.21926,0.814373,0.587093,0.135072,0.701754,"Bossley Park",10302
0.694293,0.3,0.706231,134,31291.44828,0.097583,0.803815,0.632432,0.067568,0.758865,"Batlow",10134
0.783926,0.319245,0.755595,135,51505.19217,0.152718,0.908313,0.321706,0.35905,0.828921,"Baulkham Hills",10135
0.705882,0.414097,0.733945,136,37561.33333,0.062172,0.796117,0.400881,0.185022,0.747619,"Baw Baw (NSW)",10136
0.578778,0.405145,0.601351,137,24868.75472,0.069616,0.670968,0.392283,0.202572,0.635762,"Bawley Point",10137
0.712299,0.303387,0.715909,138,55484.0,0.141471,0.85738,0.324006,0.372607,0.781679,"Bayview (NSW)",10138
0.799658,0.34623,0.784952,139,49612.40678,0.115783,0.900735,0.348506,0.305263,0.841335,"Beacon Hill",10139
0.751152,0.234568,0.833935,140,63262.81481,0.101439,0.935374,0.385802,0.37963,0.883072,"Beaconsfield (NSW)",10140
0.0,0.314815,0.0,141,37503.55556,0.0,0.0,0.37963,0.305556,0.0,"Beaumont (NSW)",10141
0.765854,0.3141,0.785984,303,48523.84906,0.104877,0.890861,0.454084,0.231816,0.836387,"Botany",10303
0.821487,0.32137,0.780873,142,58241.18182,0.171084,0.951956,0.326765,0.351865,0.863647,"Beaumont Hills",10142
0.0,0.425197,0.0,192,26548.0,0.0,0.0,0.409449,0.165354,0.0,"Berrara",10192
0.0,0.2,0.0,143,27042.73684,0.0,0.0,0.654545,0.145455,0.0,"Beckom",10143
0.0,0.315789,0.0,144,27793.16129,0.0,0.0,0.631579,0.052632,0.0,"Bedgerebong",10144
0.694534,0.358306,0.711656,145,31983.71429,0.052232,0.763889,0.52443,0.117264,0.727273,"Beechwood",10145
0.78063,0.450059,0.803357,193,36063.06849,0.040925,0.844282,0.398355,0.151586,0.820823,"Berridale",10193
0.817164,0.387298,0.810345,311,47948.0,0.104775,0.915119,0.369863,0.242839,0.860229,"Bowen Mountain",10311
0.64094,0.291946,0.655172,2089,26312.91228,0.113484,0.768657,0.661074,0.04698,0.702128,"Smithtown",12089
0.617772,0.376956,0.636872,2090,33285.77778,0.11773,0.754601,0.473684,0.14936,0.69152,"Soldiers Point",12090
0.795071,0.225799,0.764314,146,63532.92823,0.142133,0.906447,0.210731,0.56347,0.832369,"Beecroft",10146
0.0,0.0,0.0,147,0.0,0.0,0.0,0.0,0.0,0.0,"Beecroft Peninsula",10147
0.0,0.337143,0.0,148,36348.0,0.0,0.0,0.588571,0.074286,0.0,"Beelbangera",10148
0.666956,0.314831,0.679587,149,31812.77273,0.10109,0.780676,0.557242,0.127927,0.727397,"Bega",10149
0.0,0.313725,0.0,150,19773.0,0.0,0.0,0.568627,0.117647,0.0,"Belbora",10150
0.706122,0.291667,0.658333,198,28060.5,0.197599,0.855932,0.55,0.158333,0.757447,"Bethungra",10198
0.746741,0.414498,0.747967,2091,38254.66667,0.125167,0.873134,0.405204,0.180297,0.817121,"Somersby",12091
0.785016,0.392971,0.803922,2092,32841.02326,0.069412,0.873333,0.476038,0.13099,0.833333,"Somerton (NSW)",12092
0.799197,0.462451,0.748,2394,48964.39344,0.159563,0.907563,0.373518,0.164032,0.828221,"Wallalong",12394
0.815158,0.26408,0.783276,154,59865.89216,0.146198,0.929474,0.323655,0.412265,0.854592,"Bella Vista",10154
0.571563,0.341199,0.592928,155,28529.81818,0.120905,0.713833,0.549788,0.109014,0.649635,"Bellambi",10155
0.0,0.359649,0.0,156,20574.66667,0.0,0.0,0.5,0.140351,0.0,"Bellangry",10156
0.770213,0.224576,0.735294,157,36195.05882,0.163011,0.898305,0.610169,0.165254,0.832579,"Bellata",10157
0.710292,0.4008,0.70068,165,38201.58852,0.124924,0.825604,0.461704,0.137496,0.761905,"Belmont North",10165
0.0,0.338983,0.0,158,39814.66667,0.0,0.0,0.245763,0.415254,0.0,"Bellawongarah",10158
0.631199,0.383017,0.669231,159,32188.0,0.101854,0.771084,0.557362,0.059621,0.718627,"Bellbird",10159
0.592652,0.323625,0.605769,166,31148.0,0.099494,0.705263,0.566343,0.110032,0.657763,"Belmont South",10166
0.0,0.384106,0.0,2098,30652.7619,0.0,0.0,0.377483,0.238411,0.0,"South Durras",12098
0.67245,0.38835,0.672154,2407,36348.0,0.100506,0.77266,0.432039,0.179612,0.721944,"Wangi Wangi",12407
0.0,0.407407,0.0,2408,30911.63636,0.0,0.0,0.45679,0.135802,0.0,"Wantabadgery",12408
0.701545,0.162989,0.754211,162,72257.12863,0.165596,0.919808,0.315349,0.521662,0.830311,"Bellevue Hill",10162
